BARCODE_128,TrialType,PlotNumber,ComboCode,ENTRY,BLOCK,Locn,Check,Experiment Name,Year,Plot,Identity1,Description1,Name1,Plot Range,Plot Column,100 Seed weight,Moisture,Plot Weight,Yield,Flowering Date,Maturity Date,100SW,Planter
1AAFF4CFF3,REG,101,25104101,1,1,LODS,0,25104,2025,21,,black,PVBLPI19 1,1,1,29,16.4,398,534,2025-08-04,,29.57,1
10EF106E84,REG,102,25104102,2,1,LODS,0,25104,2025,22,,black,PVBLPI19 10,1,2,33,17.2,1164,1547,2025-08-02,2025-09-22,33.32,16
129200248F,REG,103,25104103,3,1,LODS,1,25104,2025,23,BC088,Phaseolus vulgaris,Zorro,1,3,30,18.2,893,1172,2025-08-03,2025-09-22,29.93,17
13DCCD360B,REG,104,25104104,4,1,LODS,2,25104,2025,24,black,TV,black bear,1,4,34,14.6,821,1125,2025-08-01,2025-09-22,35.41,32
1346D39201,REG,105,25104105,5,1,LODS,3,25104,2025,25,navy,TV,Blizzard,1,5,30,15.8,1763,2382,2025-07-31,2025-09-19,30.8,33
18E3DC5A8E,REG,106,25104106,4,2,LODS,2,25104,2025,26,black,TV,black bear,1,6,36,14.9,898,1226,2025-08-03,2025-09-22,37.36,48
1F3234391E,REG,107,25104107,1,2,LODS,0,25104,2025,27,,black,PVBLPI19 1,1,7,26,15.1,1581,2154,2025-08-03,2025-09-22,26.92,49
135FB2FF3E,REG,108,25104108,5,2,LODS,3,25104,2025,28,navy,TV,Blizzard,1,8,32,12.5,1561,2192,2025-07-31,2025-09-22,34.15,64
1B5771912F,REG,109,25104109,2,2,LODS,0,25104,2025,29,,black,PVBLPI19 10,1,9,31,13.2,1205,1678,2025-08-04,2025-09-22,32.81,65
12B2AFE34C,REG,201,25104201,5,4,LODS,3,25104,2025,38,navy,TV,Blizzard,2,1,28,12.7,1065,1492,2025-08-01,2025-09-22,29.81,2
1785599F7B,REG,202,25104202,1,4,LODS,0,25104,2025,37,,black,PVBLPI19 1,2,2,30,17,2333,3107,2025-08-03,2025-09-22,30.37,15
1649969ECA,REG,203,25104203,3,4,LODS,1,25104,2025,36,BC088,Phaseolus vulgaris,Zorro,2,3,31,18.1,1407,1849,2025-08-04,2025-09-19,30.96,18
1FC56172AF,REG,204,25104204,4,3,LODS,2,25104,2025,35,black,TV,black bear,2,4,29,17.2,1530,2033,2025-08-03,2025-09-22,29.28,31
16D48563C6,REG,205,25104205,2,3,LODS,0,25104,2025,34,,black,PVBLPI19 10,2,5,26,14.2,1883,2592,2025-08-03,2025-09-19,27.2,34
18201F0EE4,REG,206,25104206,3,3,LODS,1,25104,2025,33,BC088,Phaseolus vulgaris,Zorro,2,6,31,13.6,1345,1865,2025-07-31,2025-09-22,32.66,47
157A224D4B,REG,207,25104207,1,3,LODS,0,25104,2025,32,,black,PVBLPI19 1,2,7,29,13.6,1964,2723,2025-08-04,2025-09-19,30.56,50
1B611628A4,REG,208,25104208,5,3,LODS,3,25104,2025,31,navy,TV,Blizzard,2,8,33,16.9,1756,2342,2025-07-31,2025-09-19,33.44,63
1E2A42C788,REG,209,25104209,3,2,LODS,1,25104,2025,30,BC088,Phaseolus vulgaris,Zorro,2,9,27,15.3,1662,2259,2025-08-04,2025-09-22,27.89,66
177CD0AC48,REG,301,25104301,2,4,LODS,0,25104,2025,39,,black,PVBLPI19 10,3,1,29,16.5,2060,2760,2025-08-03,2025-09-19,29.53,3
107E82C871,REG,302,25104302,4,4,LODS,2,25104,2025,40,black,TV,black bear,3,2,32,17.2,1594,2118,2025-08-01,2025-09-22,32.31,14
10EDB7D180,REG,401,25105401,1,1,LODS,0,25105,2025,21,,white kidney,PVKIPI19 4,4,1,61,14.4,453,622,2025-07-28,2025-09-19,63.68,4
1F33742763,REG,402,25105402,2,1,LODS,0,25105,2025,22,,red kidney,PVKIPI19 10,4,2,,13,,,2025-08-01,2025-10-07,-9.55,13
10CADB6979,REG,403,25105403,3,1,LODS,1,25105,2025,23,,dark red kidney,Redhawk,4,3,68,16.4,269,361,2025-07-30,2025-09-22,69.33,20
1C2BE7E1B5,REG,404,25105404,4,1,LODS,2,25105,2025,24,Snowdon,Control-01,Snowdon,4,4,,12,,,2025-07-25,2025-09-22,-9.66,29
16B67496BE,REG,405,25105405,5,1,LODS,3,25105,2025,25,,red kidney,Coho,4,5,,15.1,,,2025-07-30,2025-09-29,-9.32,36
17542F0075,REG,406,25105406,3,2,LODS,1,25105,2025,26,,dark red kidney,Redhawk,4,6,60,15.6,446,604,2025-07-28,2025-09-16,61.76,45
10F210ED64,REG,407,25105407,2,2,LODS,0,25105,2025,27,,red kidney,PVKIPI19 10,4,7,73,17,1074,1430,2025-08-01,2025-09-22,73.89,52
161C4AA1F0,REG,408,25105408,4,2,LODS,2,25105,2025,28,Snowdon,Control-01,Snowdon,4,8,74,14.9,838,1144,2025-07-25,2025-09-16,76.8,61
1F9DCB83D0,REG,409,25105409,1,2,LODS,0,25105,2025,29,,white kidney,PVKIPI19 4,4,9,67,14.9,615,840,2025-07-28,2025-09-16,69.53,68
1E27EDEAE7,REG,501,25105501,4,4,LODS,2,25105,2025,38,Snowdon,Control-01,Snowdon,5,1,,11.5,,,2025-07-25,2025-09-16,-9.71,5
1FC62DE4CA,REG,502,25105502,2,4,LODS,0,25105,2025,37,,red kidney,PVKIPI19 10,5,2,73,15.5,818,1109,2025-07-30,2025-09-29,75.23,12
1E63DE7F04,REG,503,25105503,5,4,LODS,3,25105,2025,36,,red kidney,Coho,5,3,,12.4,,,2025-07-30,2025-09-26,-9.61,21
1A953A3EEC,REG,504,25105504,5,3,LODS,3,25105,2025,35,,red kidney,Coho,5,4,71,17.1,964,1282,2025-07-31,2025-09-26,71.78,28
1AF1CDF148,REG,505,25105505,3,3,LODS,1,25105,2025,34,,dark red kidney,Redhawk,5,5,64,16.3,932,1252,2025-07-30,2025-09-17,65.33,37
1E582CF171,REG,506,25105506,1,3,LODS,0,25105,2025,33,,white kidney,PVKIPI19 4,5,6,69,15.3,1142,1552,2025-07-28,2025-09-16,71.27,44
1871BE5911,REG,507,25105507,2,3,LODS,0,25105,2025,32,,red kidney,PVKIPI19 10,5,7,73,16.9,1196,1595,2025-07-31,2025-09-26,73.98,53
1E64EE7C1A,REG,508,25105508,4,3,LODS,2,25105,2025,31,Snowdon,Control-01,Snowdon,5,8,,12.5,,,2025-07-25,2025-09-16,-9.6,60
1D9E7C3226,REG,509,25105509,5,2,LODS,3,25105,2025,30,,red kidney,Coho,5,9,,14.2,,,2025-07-30,2025-09-29,-9.42,69
1641C41348,REG,601,25105601,1,4,LODS,0,25105,2025,39,,white kidney,PVKIPI19 4,6,1,64,14.7,904,1237,2025-07-25,2025-09-16,66.58,6
18A44C8612,REG,602,25105602,3,4,LODS,1,25105,2025,40,,dark red kidney,Redhawk,6,2,67,16.7,517,691,2025-07-30,2025-09-16,68.06,11
125F403BE0,REG,701,25106701,1,1,LODS,0,25106,2025,17,,cran,PVCRPI19 3,7,1,51,14.3,1121,1542,2025-07-25,2025-09-16,53.3,7
1579F9AAA7,REG,702,25106702,2,1,LODS,1,25106,2025,18,,cran,ETNA,7,2,54,16.1,920,1239,2025-07-28,2025-09-16,55.25,10
134873E9EF,REG,703,25106703,3,1,LODS,2,25106,2025,19,cran,TV,Krimson,7,3,57,14.5,711,975,2025-07-25,2025-09-16,59.43,23
1687A5C509,REG,704,25106704,4,1,LODS,3,25106,2025,20,,Cran,Navabi,7,4,56,15.6,605,819,2025-07-28,2025-09-17,57.64,26
1DB881A5AE,REG,705,25106705,3,2,LODS,2,25106,2025,21,cran,TV,Krimson,7,5,57,16.4,1224,1642,2025-07-28,2025-09-16,58.11,39
1596C3B0B1,REG,706,25106706,2,2,LODS,1,25106,2025,22,,cran,ETNA,7,6,61,15.7,934,1263,2025-07-25,2025-09-16,62.71,42
1EE7BA847D,REG,707,25106707,1,2,LODS,0,25106,2025,23,,cran,PVCRPI19 3,7,7,59,17.4,1616,2142,2025-07-25,2025-09-22,59.43,55
1209641F62,REG,708,25106708,4,2,LODS,3,25106,2025,24,,Cran,Navabi,7,8,57,15.8,1165,1574,2025-07-25,2025-09-17,58.53,58
142A415719,REG,709,25106709,4,3,LODS,3,25106,2025,25,,Cran,Navabi,7,9,65,15.6,961,1301,2025-07-28,2025-09-22,66.9,71
16C478D40B,REG,803,25106803,1,4,LODS,0,25106,2025,32,,cran,PVCRPI19 3,8,3,52,12.3,974,1371,2025-07-25,2025-09-17,55.61,24
1F09EB2091,REG,804,25106804,3,4,LODS,2,25106,2025,31,cran,TV,Krimson,8,4,53,11.3,454,646,2025-07-28,2025-09-17,57.33,25
1C94F360A0,REG,805,25106805,2,4,LODS,1,25106,2025,30,,cran,ETNA,8,5,57,12,1358,1918,2025-07-25,2025-09-17,61.17,40
14E88BDDF9,REG,806,25106806,4,4,LODS,3,25106,2025,29,,Cran,Navabi,8,6,59,14.1,1191,1642,2025-07-28,2025-09-18,61.81,41
1AB6B99611,REG,807,25106807,2,3,LODS,1,25106,2025,28,,cran,ETNA,8,7,61,15.4,1353,1837,2025-07-28,2025-09-16,62.93,56
1A2089FC55,REG,808,25106808,3,3,LODS,2,25106,2025,27,cran,TV,Krimson,8,8,57,14,698,963,2025-07-28,2025-09-16,59.78,57
1046AA4F47,REG,809,25106809,1,3,LODS,0,25106,2025,26,,cran,PVCRPI19 3,8,9,57,15.1,1129,1538,2025-07-28,2025-09-22,59.02,72
