Harvestable Area Means,,,24110,0.934665683,,,,,,,,,
,,,24111,0.898130875,,,,,,,,,
,,,24112,0.856456163,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,0.930440789,0.940051843,0.587156748
,,,,,,,,,,,0.896205313,0.939196968,0.961249745
,,,,,,,,,,,0.93448598,0.942743044,0.856334581
,,,,,,,,,,,0.954862139,0.91175774,0.971920683
,,,,,,,,,,,0.952191104,0.947710526,0.911587271
,,,,,,,,,,,0.951394417,0.894643351,0.666460526
,,,,,,,,,,,0.925230263,0.812576068,0.95867736
,,,,,,,,,,,0.899264483,0.889800457,0.958546325
,,,,,,,,,,,0.936479845,0.718282895,0.957644737
,,,,,,,,,,,0.849572368,0.914349811,0.922847161
,,,,,,,,,,,0.933829818,0.931210074,0.684580504
,,,,,,,,,,,0.95052599,0.750269737,0.937573601
,,,,,,,,,,,0.984723584,0.910322368,0.935091678
,,,,,,,,,,,0.901047355,0.962841861,0.536039474
,,,,,,,,,,,0.975394251,0.923269232,0.933071488
,,,,,,,,,,,0.945112203,0.840150264,0.924516729
,,,,,,,,,,,0.922046565,0.894027013,
,,,,,,,,,,,0.967375,0.950243421,
,,,,,,,,,,,0.952933901,0.96519056,
,,,,,,,,,,,0.930198287,0.923980263,
,,,,,,,,,,,0.934665683,0.898130875,0.856456163
,,,,,,,,,,,0.000964074,0.00459327,0.021797734
